line_1,line_2,line_3
"Up and up,",the Incense-burner,Peak!
In my heart,is stored what my eyes,and ears perceived.
All the year--detained by,official business; To-day at last,I got a chance to go.
"Grasping the creepers, I",clung to dangerous rocks; My hands,and feet--weary with groping for hold.
There came with me,"three or four friends, But two friends dared",not go further.
At last we reached the topmost,"crest of the Peak; My eyes were blinded,",my soul rocked and reeled.
The chasm beneath,me--ten thousand feet; The ground I,"stood on, only a foot wide."
If you have not exhausted the scope,"of seeing and hearing, How can you realize",the wideness of the world?
The waters of the River,"looked narrow as a ribbon, PâÄn Castle",smaller than a manâs fist.
"How it clings,",the dust of the worldâs,halter!
It chokes my,limbs: I cannot,shake it away.
"Thinking of retirement,","I heaved an envious sigh, Then, with lowered","head, came back to the Antsâ Nest."
My new Province is a,land of bamboo-groves: Their shoots in spring,fill the valleys and hills.
The mountain woodman cuts an,armful of them And brings them down to,sell at the early market.
Things are cheap in proportion,"as they are common; For two farthings,",I buy a whole bundle.
I put the shoots in a,great earthen pot And heat them up,along with boiling rice.
The purple nodules,"broken,--like an old brocade; The","white skin opened,--like new pearls."
Now every day,I eat them recklessly; For a,long time I have not touched meat.
Sent as a present,from Annam-- A red,cockatoo.
Coloured like the peach-tree,"blossom, Speaking with",the speech of men.
And they did to it,what is always done To the,learned and eloquent.
They took a,cage with stout bars And shut,it up inside.
After lunch--one short,nap: On waking up--two,cups of tea.
"Raising my head, I",see the sunâs light Once again,slanting to the south-west.
Those who are happy regret,the shortness of the day; Those who are sad,tire of the yearâs sloth.
But those whose hearts are devoid,"of joy or sadness Just go on living,",regardless of âshortâ or âlong.
"â Above, a mountain ten","thousand feet high: Below, a river",a thousand fathoms deep.
"A strip of green, walled by",cliffs of stone: Wide enough for the,passage of a single reed.
Long before night the,walls are black with dusk; Without,wind white waves rise.
The big rocks are like,a flat sword: The little rocks,resemble ivory tusks.
We are stuck,fast and cannot,move a step.
How much the,"less, three hundred",miles?
"Frail and slender, the twisted-bamboo","rope: Weak, the dangerous hold",of the towersâ feet.
A single slip--the whole,convoy lost: And _my_ life,hangs on _this_ thread!
I have heard a saying âHe that has,an upright heart Shall walk scathless through,the lands of Man and Mo.
â How can I believe that,since the world began In every,shipwreck none have drowned but rogues?
"And how can I, born","in evil days And fresh from failure,",ask a kindness of Fate?
Often I fear that,these un-talented limbs Will be laid,at last in an un-named grave!
"Suddenly, suddenly,--bearing","a stricken heart I left the gates,",with nothing to comfort me.
"Henceforward,--relegated to deep seclusion In a bottomless","gorge, flanked by precipitous mountains, Five months on end the passage of boats",is stopped By the piled billows that toss and leap like colts.
The inhabitants of Pa,"resemble wild apes; Fierce and lusty,",they fill the mountains and prairies.
Among such as these I cannot hope,for friends And am pleased with anyone who,is even remotely human!
I took money and bought,flowering trees And planted them out on,the bank to the east of the Keep.
I simply bought whatever,"had most blooms, Not caring whether","peach, apricot, or plum."
"A hundred fruits, all mixed","up together; A thousand branches,",flowering in due rotation.
Each has its season coming,early or late; But to all alike the,fertile soil is kind.
The red flowers hang like,a heavy mist; The white flowers gleam,like a fall of snow.
The wandering bees cannot,bear to leave them; The sweet birds also,come there to roost.
In front there flows an ever-running,stream; Beneath there is built a little,flat terrace.
Sometimes I sweep the flagstones,"of the terrace; Sometimes, in the wind,",I raise my cup and drink.
The flower-branches screen my head,from the sun; The flower-buds fall,down into my lap.
"Alone drinking, alone singing",my songs I do not notice that the,moon is level with the steps.
The people of Pa do not,care for flowers; All the spring,no one has come to look.
"But their Governor General,",alone with his cup of wine Sits till evening,and will not move from the place!
"My niece, who is six","years old, is called âMiss Tortoiseâ; My","daughter of three,--little âSummer Dress."
â One is beginning to learn,to joke and talk; The other can already,recite poems and songs.
At morning they play clinging,about my feet; At night they sleep,pillowed against my dress.
"Why, children, did you reach","the world so late, Coming to me",just when my years are spent?
Young things draw our,feelings to them; Old people,easily give their hearts.
The sweetest vintage,at last turns sour; The full,moon in the end begins to wane.
And so with men the bonds of,love and affection Soon may change to a,load of sorrow and care.
But all the world is bound,by loveâs ties; Why did I think that I,alone should escape?
Trees growing--right in front of,my window; The trees are high,and the leaves grow thick.
the distant mountain,"view Obscured by this, dimly",shows between.
One morning I took,knife and axe; With my own hand I,lopped the branches off.
Ten thousand leaves fall about,my head; A thousand hills came,before my eyes.
"Suddenly, as when clouds or mists break And straight through,","the blue sky appears; Again, like the face of a friend one has",loved Seen at last after an age of parting.
First there came a gentle,wind blowing; One by one the birds,flew back to the tree.
To ease my mind I gazed to,"the South East; As my eyes wandered,",my thoughts went far away.
Of men there is none that has,not some preference; Of things there is,none but mixes good with ill.
It was not that I did,not love the tender branches; But,"better still,--to see the green hills!"
I have been ill so long that,I do not count the days; At the southern,"window, evening--and again evening."
Sadly chirping in the,grasses under my eaves The winter,sparrows morning and evening sing.
By an effort I rise and lean,heavily on my bed; Tottering I,step towards the door of the courtyard.
By chance I meet a friend who,is coming to see me; Just as if,I had gone specially to meet him.
They took my couch and placed it in,the setting sun; They spread my rug and,I leaned on the balcony-pillar.
Tranquil talk was better than,any medicine; Gradually the,feelings came back to my numbed heart.
Little sleeping and much,"grieving,--the traveller Rises at midnight",and looks back towards home.
The sands are bright with moonlight,that joins the shores; The sail is white with,dew that has covered the boat.
"Nearing the sea, the river grows","broader and broader: Approaching autumn,--the",nights longer and longer.
Thirty times we have,"slept amid mists and waves, And",still we have not reached Hang-chow!
I grew up,at Jung-yang; I was still,young when I left.
"On and on,--forty years passed",Till again I stayed for,the night at Jung-yang.
"When I went away, I",was only eleven or twelve;,This year I am turned fifty-six.
Yet thinking back to the,"times of my childish games, Whole and undimmed,",still they rise before me.
The old houses have all,disappeared; Down in the village,none of my people are left.
It is not only that streets,and buildings have changed; But steep is level,and level changed to steep!
"Alone unchanged, the waters","of Châiu and Yu Passionless,--flow",in their old course.
"While on the road to his new province, Hang-chow, in 822,","he sends a silver spoon to his niece A-kuei, whom he had been obliged to leave","behind with her nurse, old Mrs."
Little girls ought to,be daintily,fed: Mrs.
"Tsâao,",please see to,this!
Thatâs why Iâve packed and sent a,silver spoon; You will think of me and,eat up your food nicely!
Long ago to a white-haired,gentleman You made the present,of a black gauze hat.
The gauze hat still sits on,my head; But you already are gone,to the Nether Springs.
"The thing is old, but still",fit to wear; The man is gone and,will never be seen again.
Out on the hill the moon is,shining to-night And the trees on your tomb,are swayed by the autumn wind.
That so many of the,poor should suffer from cold what can,we do to prevent?
To bring warmth to,a single body,is not much use.
I wish I had a big rug,"ten thousand feet long, Which at one time could cover",up every inch of the City.
Our party scattered at yellow dusk,and I came home to bed; I woke at midnight and went for,"a walk, leaning heavily on a friend."
As I lay on my pillow my vinous,"complexion, soothed by sleep, grew sober; In front of the tower the ocean","moon, accompanying the tide, had risen."
"The swallows, about to return to the beams,","went back to roost again; The candle at my window, just","going out, suddenly revived its light."
"All the time till dawn came, still my thoughts",were muddled; And in my ears something sounded,like the music of flutes and strings.
"_Then_ on the shore,--building","sand-pagodas; _Now_, at Court, covered with",tinkling jade.
"This and that,--equally childish","games, Things whose substance passes in",a moment of time!
"While the hands are busy, the",heart cannot understand; When there are no,"Scriptures, then Doctrine is sound."
Even should one zealously,"strive to learn the Way, That very striving",will make oneâs error more.
All the morning I have,lain perversely in bed; Now at,dusk I rise with many yawns.
My warm stove is quick to,get ablaze; At the cold mirror I,am slow in doing my hair.
With melted snow I,boil fragrant tea; Seasoned with,curds I cook a milk-pudding.
At my sloth and greed there,is no one but me to laugh; My cheerful vigour,none but myself knows.
The taste of my wine is mild and,works no poison; The notes of my harp,are soft and bring no sadness.
To the Three Joys in the book,of Mencius I have added the,fourth of playing with my baby-boy.
I break up cypress,and make a book-box; The box,"well-made,--and the cypress-wood tough."
In it shall be,kept what authorâs,works?
The inscription,says PO,LO-TâIEN.
All my life has been spent,"in writing books, From when I was young",till now that I am old.
"First and last,--seventy","whole volumes; Big and little,--three",thousand themes.
All I can do is to divide them,among my daughters To be left by them,to give to my grandchildren.
"Between thirty and forty, one is","distracted by the Five Lusts; Between seventy and eighty,",one is a prey to a hundred diseases.
But from fifty to,sixty one is free from all ills;,Calm and still--the heart enjoys rest.
I have put behind me Love and Greed; I,have done with Profit and Fame; I am still short of illness,and decay and far from decrepit age.
Strength of limb I still possess to,seek the rivers and hills; Still my heart has spirit,enough to listen to flutes and strings.
At leisure I open new,wine and taste several cups; Drunken I recall,old poems and sing a whole volume.
"â Hundreds of houses,","thousands of houses,--like",a chess-board.
The twelve streets,like a field planted with,rows of cabbage.
"In the distance perceptible, dim,",dim--the fire of approaching dawn; And a single row,of stars lying to the west of the Five Gates.
Mounting on high I begin to realize,the smallness of Manâs Domain; Gazing into distance I begin,to know the vanity of the Carnal World.
I turn my head and hurry,"home--back to the Court and Market, A single",grain of rice falling--into the Great Barn.
Two top-knots not,yet plaited into,one.
Of thirty,years--just beyond,half.
You who are really a lady,of silks and satins Are now become my,hill and stream companion!
At the spring fountains together,we splash and play: On the lovely trees,together we climb and sport.
"Her cheeks grow rosy, as","she quickens her sleeve-dancing: Her brows grow sad,",as she slows her songâs tune.
Donât go singing the Song of,"the Willow Branches, When thereâs no one",here with a heart for you to break!
At night you came and took my hand and we wandered,together in my dream; When I woke in the morning there was no one to,stop the tears that fell on my handkerchief.
On the banks of the Châang my aged body,three times has passed through sickness; At Hsien-yang to the grasses,on your grave eight times has autumn come.
You lie buried beneath,the springs and your bones are,mingled with the clay.
I--lodging in the,world of men; my hair,white as snow.
A-wei and Han-lang both followed in,their turn; Among the shadows of the Terrace,of Night did you know them or not?
"At night, in my","dream, I stoutly climbed",a mountain.
Going out alone,with my staff of,holly-wood.
"A thousand crags, a hundred hundred valleys-- In",my dream-journey none were unexplored And all the while my feet never grew tired,And my step was as strong as in my young days.
Can it be that when the,mind travels backward The body also,returns to its old state?
"And can it be, as between","body and soul, That the body may","languish, while the soul is still strong?"
Soul and body--both are,vanities: Dreaming and waking--both,alike unreal.
In the day my feet are palsied,and tottering; In the night my steps,go striding over the hills.
As day and night are,divided in equal parts-- Between the,"two, I _get_ as much as I _lose_."
Congratulating himself on,the comforts of his life after his,retirement from office.
"Lined coat, warm cap and easy felt slippers,","In the little tower, at the low window, sitting",over the sunken brazier.
"Body at rest,",heart at peace; no need to,rise early.
I wonder if the courtiers,at the Western Capital know,"of these things, or not?"
No new poems his,brush will trace: Even,his fame is dead.
His old poems are deep,in dust At the bottom of,boxes and cupboards.
"Once lately, when someone was singing,",Suddenly I heard a verse-- Before I had time,to catch the words A pain had stabbed my heart.
âThose who speak know,nothing; Those who know,are silent.
"â These words, as","I am told, Were spoken",by Lao-tzÅ­.
If we are to believe that Lao-tzÅ­,"Was himself _one who knew_, How comes it that he wrote",a book Of five thousand words?
Chuang-tzÅ­ levels all things,And reduces them to,the same Monad.
But _I_ say that,even in their sameness,Difference may be found.
A traveller,came from across the seas Telling,of strange sights.
âIn a deep fold of the,sea-hills I saw a terrace,and tower.
In the midst there,stood a Fairy Temple With,one niche empty.
They all told me,this was waiting,For Lo-tâien to come.
"â Traveller, I have studied the Empty Gate;",I am no disciple of Fairies The story you,have just told Is nothing but an idle tale.
The hills of,ocean shall never,be Lo-tâienâs home.
When I leave the earth,it will be to go To the Heaven,of Bliss Fulfilled.
They have put my bed beside the,unpainted screen; They have shifted my stove,in front of the blue curtain.
"I listen to my grandchildren,","reading me a book; I watch the servants,",heating up my soup.
With rapid pencil I answer,the poems of friends; I feel in my pockets,and pull out medicine-money.
When this superintendence of,"trifling affairs is done, I lie back on my",pillows and sleep with my face to the South.
THE END CHISWICK,PRESS: PRINTED BY CHARLES,WHITTINGHAM AND CO.
"TOOKS COURT,",CHANCERY,"LANE, LONDON."
"21, heading,      for",BIOGRAPHICAL    read,BIBLIOGRAPHICAL.
"You, stand here at my","side, good Priapus--albeit from thieves",I've Nothing to fear.
Freely,"pluck, whosoever",would eat.
"--Hypocrites, those",are,the ones!
Tell me ye stones and,give me O glorious,palaces answer.
Speak O,ye streets but,one word.
"Genius, art",thou,alive?
"Yes, here within thy sanctified","walls there's a soul in each object,",ROMA eternal.
"For me, only,",are all things,yet mute.
Who will then tell me in whispers,and where must I find just the window Where one day she'll,be glimpsed: creature who'll scorch me with love?
Can't I divine yet the paths through,which over and over To her and from her,"I'll go, squandering valuable time?"
"Visiting churches and palaces, all","of the ruins and the pillars, I, a responsible","man, profit from making this trip."
"With my business accomplished, ah,","then shall only one temple, AMOR's temple","alone, take the initiate in."
"Rome, thou art a whole world, it","is true, and yet without love this World would not be the","world, Rome would cease to be Rome."
More than ever I,"dreamed, I have found it: my",happy good fortune!
Cupid,sagaciously led,past those palazzos so fine.
He of course knows very well (and I,"have also discovered) What, beneath tapestries","rich, gilded boudoirs conceal."
One may if one wishes,"call him a blind, wanton boy--but I know you,","Clever Cupid, too well!"
"O,",incorruptible,god!
"Here he provides me with ev'rything,",sees that I get what I call for; Each day that passes,he spreads freshly plucked roses for me.
--Isn't that,heaven,on earth?
"Say, beautiful","Lady Borghese, What would you",give to me more?
Banquets and game,"tables, operas, balls, promenades",down the Corso?
These but deprive,my sweet boy of his,most opportune times.
"Finery,",haughtiness do,not entice me.
Does one not lift a,Gown of the finest brocade just as,one lifts common wool?
If she's to press in comfort a,"lover against that soft bosom, Doesn't he want",her to be free from all brooches and chains?
"Must not the jewelry, and then the",lace and the bustles and whalebone All of it come,"off entire, if he's to learn how she feels?"
I encounter,no troubles,like those.
"Simple dress of rough homespun,","At but a lover's mere touch, tumbles",in folds to the floor.
Quickly he carries the girl as,she's clad in chemise of coarse linen-- Just as a nursemaid,"might, playfully up to her bed."
Drapings of satin,are absent; the mattress is,quite unembroidered.
Large is this room where,the bed offers its,comfort for two.
Jupiter's welcome to more from his,Juno if he can get it; Let any mortal find,"rest, softer, wherever he can."
"We are content with Cupid's delights,",authentic and naked-- And with the exquisite,creak /crack of the bed as it rocks.
Ask whomever you will but you'll,"never find out where I'm lodging, High society's","lords, ladies so groomed and refined."
"""Tell me,",was Werther,authentic?
Did all of,that happen in,real life?
""" ""Lotte, oh where did she","live, Werther's only",true love?
""" How many times have I cursed those",frivolous pages that broadcast Out among all,mankind passions I felt in my youth!
"Were he my brother,",why then I 'd have murdered,poor Werther.
Yet his despondent,ghost couldn't have sought,worse revenge.
"Do not, beloved, regret that",you yielded to me so quickly: I entertain,"no base, insolent thoughts about you."
Arrows,of Cupid work divers,effects.
Some do but scratch us:,Slow and insidious these,poison our hearts over years.
Yet with a head freshly honed and,"cunningly fledged, certain others Pierce to the marrow,",inflame rapidly there our blood.
When gods and goddesses in days of,"heroes made love, then Lust followed look and desire,","with no delay, was indulged."
Surely you don't think the goddess of,"love lost a moment reflecting When, in","Idean grove, Anchises caught her eye."
Nor did Luna delay about kissing,that beautiful dreamer-- Jealous Aurora had,else hastily wakened the lad.
At the loud banquet Hero regarded,"Leander--then promptly Into dark waters he plunged,",ardently swam toward his love.
Today a proud Rome,claims to be queen,of the world.
We are,"so pious,",we lovers.
Discreetly we worship,"all powers, Hoping for favor from each",god and each goddess as well.
Therefore we gladly confess to singling,a special immortal And our devotions each,day pledging but solely to her.
Mischievous celebrants we at these,"mysteries gay, and so solemn: Silence exactly",befits rites at which we're adepts.
Sweet,"Opportunity,",that is her name.
You,should,meet her.
Often will she,"turn up, ever",in a new form.
Daughter of Proteus,might well she be whom he sired,upon Thetis.
In metamorphoses,they've many a hero,deceived.
So now the daughter beguiles the naive,"and bedazzles the foolish, Teases you while you're","asleep; when you awaken, she's flown."
Eagerly yields herself,"up to the quick, to the active",man only.
He discovers,"she's tame, playful and",tender and sweet.
"Once she appeared to me, too:","a dark-skinned girl, tumbling Over her forehead",the hair down in waves heavy and dark.
Round about a delicate neck,curled short little ringlets; Up from the crown of,her head crinkled the unbraided hair.
When she dashed,"by me I seized her,",mistaking her not.
Lovingly Kiss and,"embrace she returned, knowing",and teaching me how.
O how,enraptured,I was!
"Ah, say",now no,more.
It's,a,bygone.
"But, O pigtails","of Rome, still I'm",entrammled in you.
Happily now on,classical soil I feel,inspiration.
Voices from present,and past speak here,evocatively.
"Heeding ancient advice,",I leaf through the works of the Ancients,With an assiduous hand.
Daily,the pleasure's,renewed.
"Throughout the night, in a different","way, I'm kept busy by Cupid-- If erudition","is halved, rapture is doubled that way."
Do then I not become wise when,"I trace with my eye her sweet bosom's Form, and",the line of her hips stroke with my hand?
"I acquire, As I reflect and compare,","my first understanding of marble, See with an eye","that feels, feel with a hand that sees."
"While my beloved, I grant it,","deprives me of moments of daylight, She in",the nighttime hours gives compensation in full.
And we do more than just kiss; we,prosecute reasoned discussions (Should she succumb to,"sleep, that gives me time for my thoughts)."
In her embrace--it's by no means unusual--I've composed poems,"And the hexameter's beat gently tapped out on her back, Fingertips counting",in time with the sweet rhythmic breath of her slumber.
Air from deep in,her breast penetrates,mine and there burns.
"Cupid, while stirring the flame in our","lamp, no doubt thinks of those days when For the triumvirs",he similar service performed.
"""Can you be cruel",enough to sadden me thus with,reproaches?
"Germans speak,","I suppose, bitterly",when they're in love.
Bear it I must when the,gossips bring forth accusations:,I'm guilty-- Or am I not?
"But, alas, all",of my guilt was,with you.
Clothes that you've given bear witness for,envious neighbors That the poor widow no,more grieves for her husband alone.
Did you not thoughtlessly visit,"me in the disguise of a cleric, Muffled all up in","a cloak, hair all rounded behind?"
Who was,it chose that gray monk if,not you?
Well then a prelate,"Now is my lover--Ah, who is",my prelate but you?
"Never, incredible as it","may sound in this clerical city, Has any cleric",brought me--swear it I will--to his bed.
I was,sufficiently,"poor, sad to say."
The,seducers Noted,it well.
Falconier,ogled me often,enough.
One of the pimps for Albani,with billets doux very impressive,Called me to Ostia once.
Quattro,Fontani,next time.
Who was,it did not appear,there?
"Why, who but the very",same girl who Hated with all of her heart,stockings both violet and red.
For: 'In the end you,poor girls are the ones who are,sure to be cheated.
 So said my,father although--Mother was,not much impressed.
Father,was,right.
Here I stand in,the end being cheated,and scolded.
You don't believe,your own,words.
They're your,excuse to,escape.
Unworthy,of women are,men.
"We, who carry your children","Next to our hearts, in these hearts loyalty","we bear you, too."
"As for you men, when you've poured out your",potency in our embraces And your desires,"dissipate, love with them passes away."
""" These things expressed, and taking her child","from its chair, my beloved Presses it close to","her heart, kisses it, tears in her eyes."
I'm now so very ashamed of,myself for having permitted Gossip of neighbors,to spoil picture so eloquent.
For a short moment,a fire may burn darkly,while smoke swirls about it.
Water dashed on,the coals suddenly smothers,their glow.
Rapidly then renewed heat overcomes,"those lowering vapors, Sends up a flame that anew",bright and more powerful gleams.
How very happy I am here,in Rome when I think of the bad days Far back,"there in the north, wrapped in a grayish light."
Over my head there the heavens weighed,"down so dismal and gloomy; Colorless, formless,",that world round this exhausted man lay.
"Seeking myself in myself, an","unsatisfied spirit, I brooded, Spying out pathways","dark, lost in dreary reflection."
Phoebus the god,"evokes forms, clear are",his colors by day.
"Bright with the stars comes the evening,","ringing with songs that are tender, And the glow","of the moon, brighter than northern sun."
What,blessedness mortals,may know!
Am,I now,dreaming?
Or welcomes,"Jupiter, Father, as guest--me,",to ambrosial halls?
"See, I lie here",extending my arms,toward your knees.
I am praying:,"Hospitality's god,",Jupiter Xenius!
Hear: How I am come,to this place I no longer,can say--I was Seized up by Hebe.
Twas she,led to this sacred,hill.
Did you command her,a hero to seek and,deliver before you?
May be,she,erred.
Let her,mistake profit,me!
"Does not Fortuna, your daughter,","when strewing her glorious presents, After the manner","of girls, yield to each passing whim?"
"You, O hospitable god, will by",no means now banish a stranger From your Olympian,heights back to the base earth again.
"""--Forgive me, Jupiter, is not",Rome's Capitoline Hill second,Olympus to you?
"Suffer me, Jupiter, here and",let Hermes guide me at last then Past Cestius',Tomb gently to Orkus below.
"When you were small, you say, neither did others consider","you f air, nor Even your mother find praise--and I believe it-- Till you grew","bigger, developing quietly over the years."
I Picture you,to myself as an,unusual child.
Also the blossoms on grapevines are wanting,"in shape and in color, Although the fruit when it's",ripe pleases both mankind and gods.
Kindling autumnal fire in a,"rustic, convivial fireplace (How the sticks crackle",and spew flames and glittering sparks!
) Strikes me,especially pleasant,this evening.
"Then in the morning, officious,","she'll leave the bed of her lover, Rouse adroitly",the flames out from their ashes anew.
Cupid has lent to her above,others the gift of cajoling Up from the ashes,"desire, just when slumber's begun."
"Therefore, ye living, rejoice that","love keeps you warm for a while yet, Until cold","Lethe anoints, captures your foot in its flight."
"They are for you, O ye graces, just a","few leaves by a poet Onto your pure altar laid, buds","of the rose beside, Offered in confidence."
"But it's to Bacchus, the sensuous","dreamer, Cythera sends glances Bathed in sweetest",desire--even in marble they're damp.
Thinking about his embrace and its,"pleasures, she seems to be asking Shouldn't our",glorious son here at our side stand erect?
"Can't you hear voices,","beloved, out on the Via",Flamina?
Reapers are now,"going home, back from",harvesting grain.
"They had journeyed to Rome from afar,",and here plaited for Ceres Wreaths which the Romans,today scorn to make for themselves.
Festivals no longer celebrate,"Ceres, the nourishing goddess Who replaced acorns","of old, giving man golden wheat."
Let us commemorate her,then ourselves in festival private (Two constitute,"a whole tribe, when they are two in love)."
Have you by any chance heard how that,"mystical, strange celebration Followed victorious",troops back from Eleusis to Rome?
"Greeks were the ones who began it, and",only to Greeks they proclaimed it Even within Roman,"walls: ""Come to the sanctified night."
""" Those who were not of the cult kept","their distance; neophytes trembled, Waiting in garments of","white, symbol of all that is pure."
Then the initiates must aimlessly,wander about through the eerie Circles of figures as,if pilgriming through their own dreams.
Snakes on the,ground were writhing,about.
Surely the gestures of murmuring,priests must contain some deep meaning-- Impatient,"acolytes wait, anxiously hoping for light."
Not until after many a testing,"and trial did they discover What, within sacred","ring, secretive image concealed."
What was this mystery other,"than this:   that Demeter, goddess, Once upon a",time had to a hero been kind.
"It was to Jason, powerful king","of the Cretans, she granted Of her immortal",self hidden sweet parts to explore.
That made,the fortune,of Crete!
The marital bed of the,"goddess Soon grew pregnant with grain, heavy",her bounteous fields.
"As for the rest of the world, it","languished away, while Ceres, Derelict of her true","task, dalliance offered in love."
"--Now the initiate youths, having","followed this tale, all astonished, Turned and beckoned","their loves--love, do you comprehend?"
See there the sacred,shade beneath that bushy-boughed,myrtle?
Our satisfaction,will there scarcely endanger,a world.
Cupid is always,"a scoundrel, and if you believe",him he'll cheat you.
Here's what the hypocrite,"said: ""Trust me just once","more, this time."
I have the best of intentions toward,you who have now dedicated-- I recognize,it with thanks--life and writings to me.
"Lo, I have followed you hither to","Rome, and I'd like to do something Here in this far away",land pleasing to such an old friend.
Every traveller I've ever,known has complained of poor treatment: He whom I,recommend treatment delicious receives.
How you've revered,the formative will of,those ancient artists!
In their own,ateliers often I,ve visited them.
"As for their works, why,",I formed those myself--now this time,I'm boasting Not.
"Oh come now, admit",what I am saying,is true.
Where are your own,"creations, your service to",me having slackened?
Where is,invention's,glow now?
Where is,the color,all gone?
"Friend, do you",hope you can create,again?
--The school of the Ancients,Yet remains,open.
"Its gates,",years have not closed,them to you.
I am eternally,"young, and as teacher I still",love the young ones.
Wisdom that comes,with old age pleases,me not.
Listen here: Wasn't,antiquity young when those fortunate,Ancients were living?
Happy then be,"your life, too: in it",antiquity lives.
Where will,you find a fit theme for,your song?
--It is,I must,provide it.
As for a style,"truly grand, love can",alone give you that.
""" All of these claims",that sophist,asserted.
Could I,contradict,him?
I am wont to,"obey, when my",commander decrees.
Treacherous now he is keeping his word:,giving me themes for my poems While he is stealing,"my time, potency, presence of mind."
"Gazing into her eyes, holding hands, giving kisses,","exchanging Syllables sweet and those words lovers alone understand, Murmuring our",conversations we stutter in sweet oratory.
Hymns of such sort pass,"away, wanting",prosodical tact.
"Goddess of morning,","Aurora, as friend of my",muse I once knew you.
Has the unprincipled,"god, Cupid, seduced",you now too?
So that these mornings you come as his,"sweetheart, awakening me at His festive altar","again, where I must celebrate him?"
"Here on my breast flows her hair, an","abundance of curls, while her head rests, Pressing my","arm as it's bent, so as to pillow her neck."
"Love in our hearts makes us one,",as the genuine need there stays constant; Only,returning desire knows oscillation or change.
Gently her hand presses,"mine, now she opens her eyes and is",looking Into my own eyes.
Let my,thoughts rest,on your form!
Please,close your,eyes.
"They're inebriation,","confusion, they rob me All too soon of",the joy quiet reflection affords.
Grand are the forms of,this body and nobly,positioned each member.
Had Ariadne,"lain thus, Theseus",never had fled.
Only a single kiss for,"these lips and then, O Theseus, leave",her; Look at her eyes--she's awake!
Now you're,eternally,bound.
"Boy, won't",you light me,a lamp.
"""But dear master,",there's light in the sky,yet.
Don't waste,your oil and,the wick.
Don't close,the shutters,so soon.
Only the houses,"are blocking the sun there, it's",not yet the mountains.
Until the curfew,"shall ring, full half an",hour must pass.
""" Wretched young","fellow, be gone and",obey me!
My loved,one is,coming.
"Lamplight, console","me till then, harbinger",warm of the night.
Poets of old in chorus cried out against those,"two serpents, Making them horrible names, hated in all of the world: Python","the one, the other the Hydra of Lerna."
These monsters Both,"have now been destroyed, thanks to the",deeds of the gods.
"Fire-breathing, venomous once, they",no longer now depredate our Flocks,"and meadows and woods, fields of golden grain."
How is it then that some spiteful,god in his wrath has Raised from the poisonous slime offspring,so monstrous again?
There's an insidious viper creeps,"into the loveliest gardens, Lying in wait",to attack all who seek pleasure therein.
Noble Hesperian,"dragon, I call you courageous",and forthright.
Boldly defending,your own beautiful apples,of gold.
"As for this worm, why he is not guarding","at all, for his presence Sullies both garden and","fruit, till they deserve no defense."
Happy Lucretius knew how in,"his day to forego love completely, Fearing not",to enjoy pleasure in anyone's arms.
"Fortunate Ancient, Propertius,",for you a slave fetched the girls down From the,"Aventine Hill, from Tarpeia's grove."
"Cynthia then, when driving you out","of such unchaste embraces, Found you unfaithful,","it's true, but she did find you whole."
Who would today dare attempt,to escape from fidelity's,ennui?
Love does not,hold one back--only concern,for one's health.
Even the woman we love may afford,us uncertain enjoyment; Nowhere can feminine,lap safely encouch a man's head.
Matrimonial bed's insecure,"and so's fornication; Husband, lover and",wife pass to each other the hurt.
Think of those ages of gold when,"Jupiter followed his urges, Chose Callisto","one day, turned to Semel the next."
It was important to him to find,"thresholds of temples so sacred Pure when, enamoured,",he sought powerful entry to them.
Can you imagine the ragings of,Juno if in love's skirmish Poisonous weapons on,her by her own spouse had been turned?
But we neo-pagans may not after all be,abandoned entirely: Yet there is speeding a god mercifully,"over the earth, Quick and assiduous."
Everyone knows him and ought,"to adore him, Herald of Zeus:","Hermes, the healing god."
"Cupid will hold out his hand: O, and entrusting","myself to the rascal, I beg you please may I Do so in pleasure",with no danger or worry or fear.
I cannot think I'd have gone with,Julius Caesar to Britain; To the Popina,"right here, Florus would tug me with ease."
Fogs of the dreary north remain,a more baleful remembrance Than in the kitchens,of Rome tribes of assiduous fleas.
"After today, I'll remember you even","more kindly, tavernas, You osterias, as you","are called, aptly by those here in Rome."
That was the place I encountered my,mistress today with the uncle Whom she so often,"deceives, so that she can have me."
She is of course well aware That,"I am watching, so finally makes the V of the","Roman Five, with a virgule before."
"Quickly, as soon as I've seen, She interlaces","the circles, reducing them all to ornatest Patterns--but still the",sweet IV stood as engraved in my eye.
I sat there mutely and biting my passionate lips almost,"bloody Half from delight at the ruse, partly from stifled desire: Such a","long time until dark, then another four hours of waiting."
"--Sun, who tarries on high, contemplating Rome: Greater","never you've nor shall you in future see greater Than Rome, O","sun, as your priest, Horace, enraptured foretold."
Tarry,no longer,today.
Go seek other,realms beneath,heaven.
Sooner depart,and leave Rome's seven,famed hills to me.
Please do the poet a favor,and shorten the glorious hours Which the painter,"devours, eagerly filling his eyes."
Then Hastily,plunge to the,ocean.
"First were but few simple dwellings here,",suddenly sunlight discovered Nations enlivening,hills teeming with fortunate thieves.
Onto this spot they assembled such,"plunder, in your eye so splendid All earth's remaining",orb scarcely was worthy of note.
"You watched a world being born here, watched","the same world sink to ruin, And from those ruins","yet arise world again greater, perhaps."
O may I,long by your light,now behold this Rome.
